longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN
-115.4,32.86,19.0,1087.0,171.0,649.0,173.0,3.3182,113800.0,1,0,0,0
-117.88,34.13,33.0,3713.0,718.0,2106.0,720.0,4.0023,185500.0,0,0,0,0
-117.91,34.14,42.0,2225.0,485.0,1544.0,464.0,2.2442,166700.0,1,0,0,0
-117.26,33.81,22.0,4249.0,922.0,2405.0,846.0,2.1549,146500.0,1,0,0,0
-117.05,34.89,36.0,1199.0,260.0,665.0,229.0,3.7065,62000.0,1,0,0,0
-117.47,34.12,6.0,10565.0,1767.0,5690.0,1555.0,4.1797,141000.0,1,0,0,0
-119.01,35.28,10.0,7011.0,1453.0,4163.0,1307.0,2.7659,77500.0,1,0,0,0
-122.49,37.78,46.0,3304.0,792.0,1783.0,777.0,3.6148,352200.0,0,0,1,0
-118.15,33.86,36.0,1578.0,312.0,827.0,311.0,4.8942,194100.0,0,0,0,0
-117.78,34.06,33.0,1056.0,272.0,964.0,300.0,2.4464,128700.0,1,0,0,0
-118.09,33.77,26.0,1388.0,409.0,515.0,392.0,1.8015,62000.0,0,0,0,0
-118.02,34.14,34.0,1077.0,257.0,478.0,199.0,2.6316,252800.0,1,0,0,0
-121.09,38.97,13.0,1467.0,221.0,688.0,231.0,5.2536,191900.0,1,0,0,0
-118.01,34.05,37.0,682.0,172.0,813.0,173.0,3.8125,138000.0,0,0,0,0
-117.99,34.0,26.0,2988.0,397.0,1371.0,415.0,6.6988,382500.0,0,0,0,0
-117.85,33.84,17.0,2830.0,502.0,1370.0,459.0,5.1785,247300.0,0,0,0,0
-117.2,33.24,12.0,4992.0,435.0,2106.0,801.0,6.2079,307300.0,0,0,0,0
-117.9,33.76,26.0,2678.0,702.0,3262.0,685.0,3.6953,176800.0,0,0,0,0
-121.14,39.1,13.0,1085.0,227.0,629.0,214.0,5.0389,171500.0,1,0,0,0
-118.08,34.14,52.0,1282.0,189.0,431.0,187.0,6.1159,470800.0,1,0,0,0
-117.8,33.9,22.0,3760.0,482.0,1485.0,461.0,7.8537,354900.0,0,0,0,0
-121.24,37.81,6.0,3883.0,800.0,2319.0,787.0,3.5595,161000.0,1,0,0,0
-118.09,34.14,40.0,3092.0,549.0,1457.0,536.0,5.3377,373800.0,1,0,0,0
-118.07,34.17,35.0,2142.0,373.0,986.0,374.0,5.7051,326000.0,1,0,0,0
-117.2,32.8,33.0,2573.0,436.0,1084.0,443.0,4.2417,294100.0,0,0,0,1
-118.43,34.18,31.0,2417.0,510.0,1102.0,507.0,3.8906,282200.0,0,0,0,0
-119.06,35.35,20.0,9351.0,2139.0,4584.0,1953.0,2.575,69900.0,1,0,0,0
-121.36,38.55,33.0,1191.0,198.0,554.0,191.0,2.8021,118800.0,1,0,0,0
-117.73,33.61,16.0,590.0,130.0,178.0,121.0,4.8611,186800.0,0,0,0,0
-118.44,34.01,42.0,2061.0,396.0,907.0,393.0,6.0804,420000.0,0,0,0,0
-117.87,33.89,22.0,2340.0,664.0,1382.0,546.0,3.343,184600.0,0,0,0,0
-120.83,39.02,15.0,1117.0,242.0,551.0,229.0,2.6319,97700.0,1,0,0,0
-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,149000.0,0,0,0,0
-121.06,37.73,5.0,2256.0,420.0,1246.0,397.0,4.9236,155900.0,1,0,0,0
-122.19,37.42,47.0,932.0,167.0,295.0,116.0,8.4375,500001.0,0,0,0,1
